Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
 0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000
 0.000500000,  0.000000016,  0.000000019,  0.050000206,  0.000000000, -0.000000011,  0.000000000, -0.000000856, -0.000000976,  0.000002605, -0.000000001, -0.000000250, -0.000000006
 0.001000000,  0.000000273,  0.000000211,  0.100002104,  0.000000003, -0.000000046,  0.000000004, -0.000001747, -0.000001997,  0.000005269, -0.000000003, -0.000000510, -0.000000009
 0.001500000,  0.000000282,  0.000000447,  0.150001166,  0.000000008,  0.000000081,  0.000000001, -0.000002644, -0.000003035,  0.000007941, -0.000000006, -0.000000778, -0.000000015
 0.002000000, -0.000000292,  0.000001389,  0.199999531,  0.000000006,  0.000000436, -0.000000003, -0.000003540, -0.000004075,  0.000010620, -0.000000008, -0.000001042, -0.000000018
 0.002500000, -0.000000190,  0.000000965,  0.250000813,  0.000000004,  0.000000236,  0.000000001, -0.000004436, -0.000005117,  0.000013300, -0.000000009, -0.000001309, -0.000000026
 0.003000000, -0.000000023,  0.000000654,  0.299999476,  0.000000004,  0.000000110,  0.000000001, -0.000005334, -0.000006161,  0.000015982, -0.000000010, -0.000001574, -0.000000031
 0.003500000, -0.000000001,  0.000000308,  0.350000447,  0.000000001,  0.000000049,  0.000000000, -0.000006233, -0.000007209,  0.000018664, -0.000000014, -0.000001844, -0.000000035
 0.004000000, -0.000000523, -0.000001055,  0.400026984,  0.000000001,  0.000000244,  0.000000000, -0.000007129, -0.000008254,  0.000021345, -0.000000015, -0.000002108, -0.000000041
 0.004500000,  0.000000099, -0.000000126,  0.449999967,  0.000000000, -0.000000066,  0.000000000, -0.000008028, -0.000009299,  0.000024028, -0.000000016, -0.000002377, -0.000000045
 0.005000000,  0.000000005,  0.000000143,  0.499995770, -0.000000001, -0.000000026, -0.000000003, -0.000008924, -0.000010347,  0.000026711, -0.000000019, -0.000002645, -0.000000049
 0.005500000, -0.000000234, -0.000000260,  0.550004720, -0.000000003,  0.000000030,  0.000000003, -0.000009822, -0.000011395,  0.000029395, -0.000000024, -0.000002911, -0.000000054
 0.006000000,  0.000000490,  0.000000148,  0.599987574, -0.000000006, -0.000000271, -0.000000001, -0.000010716, -0.000012442,  0.000032078, -0.000000022, -0.000003181, -0.000000060
 0.006500000, -0.000000061, -0.000000120,  0.649999115, -0.000000001, -0.000000039,  0.000000000, -0.000011614, -0.000013488,  0.000034761, -0.000000025, -0.000003446, -0.000000065
 0.007000000, -0.000000110, -0.000000138,  0.700001076, -0.000000003, -0.000000009,  0.000000001, -0.000012511, -0.000014534,  0.000037445, -0.000000029, -0.000003714, -0.000000070
 0.007500000, -0.000000774, -0.000000649,  0.750019187, -0.000000001,  0.000000182, -0.000000001, -0.000013410, -0.000015584,  0.000040130, -0.000000029, -0.000003984, -0.000000075
 0.008000000, -0.000000441, -0.000000356,  0.800010736, -0.000000001,  0.000000102,  0.000000000, -0.000014308, -0.000016630,  0.000042814, -0.000000032, -0.000004251, -0.000000081
 0.008500000,  0.000000149,  0.000000086,  0.849996641, -0.000000001, -0.000000083,  0.000000003, -0.000015205, -0.000017679,  0.000045498, -0.000000032, -0.000004519, -0.000000086
 0.009000000, -0.000000139, -0.000000085,  0.900003900,  0.000000000,  0.000000059,  0.000000003, -0.000016104, -0.000018725,  0.000048181, -0.000000036, -0.000004786, -0.000000089
 0.009500000,  0.000000418,  0.000000325,  0.949990771, -0.000000003, -0.000000194, -0.000000001, -0.000017001, -0.000019773,  0.000050865, -0.000000037, -0.000005051, -0.000000095
 0.010000000,  0.000000358,  0.000000271,  0.999992341,  0.000000000, -0.000000180,  0.000000003, -0.000017901, -0.000020824,  0.000053550, -0.000000039, -0.000005321, -0.000000100
 0.076583330,  0.000000956,  0.000000074,  0.999984390,  0.000000039, -0.000000939,  0.000000009, -0.000018306, -0.000021039,  0.000054088, -0.000000039, -0.000005456, -0.000000102
 0.143166670, -0.000000791, -0.000001169,  0.999988941, -0.000000012, -0.000000390, -0.000000008, -0.000018636, -0.000021083,  0.000054436, -0.000000041, -0.000005544, -0.000000102
 0.209750000, -0.000001092, -0.000001248,  0.999988295, -0.000000035, -0.000000377, -0.000000007, -0.000018922, -0.000021111,  0.000054734, -0.000000041, -0.000005618, -0.000000102
 0.276333330, -0.000005572,  0.000002515,  0.999999336, -0.000000044, -0.000003864,  0.000000000, -0.000019170, -0.000021133,  0.000054984, -0.000000041, -0.000005686, -0.000000105
 0.342916670, -0.000003064,  0.000001623,  0.999997539, -0.000000043, -0.000002164, -0.000000005, -0.000019377, -0.000021150,  0.000055199, -0.000000041, -0.000005740, -0.000000106
 0.409500000, -0.000003564,  0.000002671,  1.000002226, -0.000000022, -0.000002099, -0.000000005, -0.000019551, -0.000021169,  0.000055383, -0.000000041, -0.000005790, -0.000000106
 0.476083330, -0.000005460,  0.000004995,  1.000009191, -0.000000011, -0.000004265, -0.000000003, -0.000019701, -0.000021180,  0.000055538, -0.000000043, -0.000005835, -0.000000105
 0.542666670, -0.000001929,  0.000002671,  0.999999284, -0.000000011, -0.000002154, -0.000000001, -0.000019830, -0.000021193,  0.000055671, -0.000000043, -0.000005869, -0.000000106
 0.609250000, -0.000001531,  0.000002275,  0.999997030, -0.000000004, -0.000001216, -0.000000005, -0.000019938, -0.000021204,  0.000055783, -0.000000043, -0.000005901, -0.000000106
 0.675833330, -0.000003081,  0.000003230,  1.000005150, -0.000000001, -0.000002390, -0.000000006, -0.000020030, -0.000021215,  0.000055884, -0.000000043, -0.000005931, -0.000000106
 0.742416670, -0.000003097,  0.000002785,  1.000015118, -0.000000001, -0.000002632,  0.000000000, -0.000020109, -0.000021224,  0.000055966, -0.000000041, -0.000005955, -0.000000107
 0.809000000, -0.000001626,  0.000002049,  1.000006246, -0.000000005, -0.000001741, -0.000000010, -0.000020174, -0.000021233,  0.000056039, -0.000000041, -0.000005976, -0.000000109
 0.875583330, -0.000000396,  0.000001639,  0.999992480, -0.000000005, -0.000000995, -0.000000003, -0.000020229, -0.000021243,  0.000056099, -0.000000041, -0.000005996, -0.000000109
 0.942166670, -0.000000884,  0.000001625,  0.999997455, -0.000000004, -0.000001102,  0.000000001, -0.000020276, -0.000021250,  0.000056151, -0.000000041, -0.000006014, -0.000000108
 1.008750000, -0.000001299,  0.000001428,  1.000004403, -0.000000004, -0.000001244,  0.000000003, -0.000020317, -0.000021259,  0.000056199, -0.000000041, -0.000006030, -0.000000108
 1.075333300, -0.000000669,  0.000001120,  0.999997511, -0.000000005, -0.000000975, -0.000000004, -0.000020355, -0.000021264,  0.000056239, -0.000000041, -0.000006044, -0.000000108
 1.141916700, -0.000000231,  0.000000867,  0.999993523, -0.000000004, -0.000000646, -0.000000003, -0.000020384, -0.000021270,  0.000056271, -0.000000041, -0.000006055, -0.000000108
 1.208500000, -0.000000499,  0.000000934,  0.999996236, -0.000000003, -0.000000748,  0.000000003, -0.000020408, -0.000021278,  0.000056301, -0.000000041, -0.000006067, -0.000000106
 1.275083300, -0.000000655,  0.000000809,  1.000000191, -0.000000003, -0.000000829,  0.000000004, -0.000020430, -0.000021284,  0.000056330, -0.000000041, -0.000006078, -0.000000106
 1.341666700, -0.000000246,  0.000000655,  0.999995944, -0.000000004, -0.000000654,  0.000000004, -0.000020449, -0.000021289,  0.000056351, -0.000000041, -0.000006087, -0.000000106
 1.408250000,  0.000000061,  0.000000504,  0.999992756,  0.000000000, -0.000000416,  0.000000000, -0.000020464, -0.000021294,  0.000056373, -0.000000041, -0.000006096, -0.000000106
 1.474833300,  0.000000016,  0.000000526,  0.999993250, -0.000000001, -0.000000415, -0.000000003, -0.000020478, -0.000021299,  0.000056390, -0.000000041, -0.000006104, -0.000000108
 1.541416700, -0.000000150,  0.000000499,  0.999996480,  0.000000000, -0.000000489,  0.000000003, -0.000020490, -0.000021304,  0.000056410, -0.000000041, -0.000006111, -0.000000109
 1.608000000, -0.000000032,  0.000000444,  0.999995681,  0.000000001, -0.000000444,  0.000000003, -0.000020500, -0.000021309,  0.000056422, -0.000000041, -0.000006119, -0.000000109
 1.674583300,  0.000001503,  0.000000644,  0.999961076,  0.000000001, -0.000000555,  0.000000004, -0.000020507, -0.000021314,  0.000056434, -0.000000041, -0.000006126, -0.000000109
 1.741166700,  0.000001823,  0.000000667,  0.999953473,  0.000000003, -0.000000503,  0.000000009, -0.000020515, -0.000021319,  0.000056446, -0.000000041, -0.000006133, -0.000000109
 1.807750000,  0.000000776,  0.000000514,  0.999979399,  0.000000000, -0.000000334,  0.000000000, -0.000020524, -0.000021324,  0.000056459, -0.000000041, -0.000006139, -0.000000110
