Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,  -0.00000003,  -0.00000002,   0.05000064,   0.00000000,  -0.00000001,   0.00000000,  -0.00000083,  -0.00000095,   0.00000252,  -0.00000000,  -0.00000026,  -0.00000001
  0.00100000,   0.00000018,   0.00000009,   0.10000180,  -0.00000000,  -0.00000006,   0.00000000,  -0.00000169,  -0.00000194,   0.00000509,  -0.00000000,  -0.00000052,  -0.00000002
  0.00150000,   0.00000014,   0.00000030,   0.15000101,  -0.00000000,   0.00000008,   0.00000000,  -0.00000255,  -0.00000295,   0.00000768,  -0.00000000,  -0.00000080,  -0.00000003
  0.00200000,   0.00000014,   0.00000019,   0.20000055,  -0.00000000,   0.00000002,   0.00000000,  -0.00000342,  -0.00000396,   0.00001027,  -0.00000000,  -0.00000107,  -0.00000004
  0.00250000,  -0.00000080,   0.00000141,   0.24999893,  -0.00000000,   0.00000043,  -0.00000001,  -0.00000428,  -0.00000497,   0.00001286,  -0.00000000,  -0.00000134,  -0.00000006
  0.00300000,  -0.00000070,   0.00000148,   0.29999455,   0.00000000,   0.00000046,  -0.00000001,  -0.00000515,  -0.00000598,   0.00001545,  -0.00000000,  -0.00000161,  -0.00000007
  0.00350000,  -0.00000024,   0.00000027,   0.35000074,   0.00000000,   0.00000013,   0.00000000,  -0.00000601,  -0.00000700,   0.00001805,  -0.00000000,  -0.00000189,  -0.00000008
  0.00400000,   0.00000020,  -0.00000002,   0.40000118,   0.00000000,   0.00000007,  -0.00000000,  -0.00000688,  -0.00000801,   0.00002064,  -0.00000000,  -0.00000216,  -0.00000009
  0.00450000,   0.00000008,   0.00000005,   0.44999689,   0.00000000,  -0.00000002,   0.00000000,  -0.00000775,  -0.00000903,   0.00002323,  -0.00000000,  -0.00000244,  -0.00000010
  0.00500000,  -0.00000013,  -0.00000002,   0.50000063,   0.00000000,   0.00000002,   0.00000000,  -0.00000861,  -0.00001005,   0.00002583,  -0.00000000,  -0.00000271,  -0.00000011
  0.00550000,   0.00000026,  -0.00000015,   0.54999755,   0.00000000,  -0.00000014,   0.00000000,  -0.00000948,  -0.00001106,   0.00002842,  -0.00000000,  -0.00000298,  -0.00000012
  0.00600000,  -0.00000010,  -0.00000013,   0.60000179,   0.00000000,   0.00000001,   0.00000000,  -0.00001034,  -0.00001208,   0.00003101,  -0.00000000,  -0.00000326,  -0.00000014
  0.00650000,   0.00000067,   0.00000022,   0.64998514,   0.00000001,  -0.00000035,  -0.00000000,  -0.00001121,  -0.00001310,   0.00003361,  -0.00000001,  -0.00000353,  -0.00000015
  0.00700000,  -0.00000010,  -0.00000011,   0.70000197,   0.00000000,  -0.00000000,   0.00000000,  -0.00001208,  -0.00001411,   0.00003620,  -0.00000001,  -0.00000381,  -0.00000016
  0.00750000,  -0.00000001,   0.00000001,   0.74999928,   0.00000000,   0.00000002,   0.00000000,  -0.00001294,  -0.00001513,   0.00003880,  -0.00000001,  -0.00000408,  -0.00000017
  0.00800000,  -0.00000137,  -0.00000103,   0.80003584,   0.00000000,   0.00000036,   0.00000001,  -0.00001381,  -0.00001615,   0.00004140,  -0.00000001,  -0.00000435,  -0.00000018
