Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,   0.00000011,   0.00000009,   0.04999741,   0.00000000,  -0.00000006,   0.00000000,  -0.00000087,  -0.00000100,   0.00000266,  -0.00000001,  -0.00000024,  -0.00000002
  0.00100000,   0.00000041,   0.00000035,   0.10000160,   0.00000001,  -0.00000008,   0.00000001,  -0.00000178,  -0.00000204,   0.00000538,  -0.00000001,  -0.00000050,  -0.00000004
  0.00150000,   0.00000044,   0.00000063,   0.15000129,   0.00000002,   0.00000008,   0.00000001,  -0.00000270,  -0.00000310,   0.00000811,  -0.00000002,  -0.00000076,  -0.00000006
  0.00200000,  -0.00000096,   0.00000306,   0.19999873,   0.00000002,   0.00000096,  -0.00000001,  -0.00000361,  -0.00000416,   0.00001084,  -0.00000002,  -0.00000102,  -0.00000008
  0.00250000,   0.00000015,   0.00000127,   0.25000094,   0.00000002,   0.00000021,   0.00000001,  -0.00000453,  -0.00000523,   0.00001358,  -0.00000003,  -0.00000128,  -0.00000010
  0.00300000,   0.00000040,   0.00000075,   0.30000046,   0.00000002,   0.00000002,   0.00000001,  -0.00000544,  -0.00000630,   0.00001632,  -0.00000004,  -0.00000154,  -0.00000012
  0.00350000,   0.00000026,   0.00000052,   0.35000046,   0.00000001,   0.00000002,   0.00000000,  -0.00000636,  -0.00000737,   0.00001905,  -0.00000004,  -0.00000180,  -0.00000014
  0.00400000,  -0.00000053,  -0.00000107,   0.40003142,   0.00000001,   0.00000027,   0.00000000,  -0.00000728,  -0.00000844,   0.00002179,  -0.00000005,  -0.00000206,  -0.00000016
  0.00450000,   0.00000016,  -0.00000005,   0.45000039,  -0.00000000,  -0.00000008,   0.00000001,  -0.00000819,  -0.00000951,   0.00002453,  -0.00000005,  -0.00000232,  -0.00000018
  0.00500000,  -0.00000016,  -0.00000004,   0.50000058,  -0.00000000,   0.00000003,   0.00000000,  -0.00000911,  -0.00001058,   0.00002727,  -0.00000006,  -0.00000258,  -0.00000020
  0.00550000,  -0.00000061,  -0.00000088,   0.55001854,  -0.00000001,   0.00000006,   0.00000001,  -0.00001002,  -0.00001165,   0.00003001,  -0.00000007,  -0.00000284,  -0.00000022
  0.00600000,  -0.00000013,  -0.00000027,   0.59999861,  -0.00000001,  -0.00000006,   0.00000000,  -0.00001094,  -0.00001272,   0.00003275,  -0.00000007,  -0.00000310,  -0.00000024
  0.00650000,  -0.00000027,  -0.00000023,   0.65000065,  -0.00000001,   0.00000004,  -0.00000000,  -0.00001185,  -0.00001379,   0.00003549,  -0.00000008,  -0.00000336,  -0.00000026
  0.00700000,  -0.00000025,  -0.00000042,   0.70000421,  -0.00000001,  -0.00000009,   0.00000001,  -0.00001277,  -0.00001486,   0.00003823,  -0.00000009,  -0.00000362,  -0.00000028
  0.00750000,  -0.00000001,  -0.00000011,   0.74999725,  -0.00000000,  -0.00000007,   0.00000000,  -0.00001369,  -0.00001593,   0.00004097,  -0.00000009,  -0.00000389,  -0.00000030
