Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
 0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000
 0.000500000,  0.049999946, -0.000000024, -0.000000117,  0.000000000, -0.000000003,  0.000000000,  0.000011170, -0.000004363, -0.000000857,  0.000000184,  0.000000077,  0.000000000
 0.001000000,  0.099999773, -0.000000114, -0.000001011, -0.000000004, -0.000000010,  0.000000000,  0.000023126, -0.000009306, -0.000001751,  0.000000384,  0.000000157,  0.000000003
 0.001500000,  0.149999181, -0.000000547, -0.000000843, -0.000000017, -0.000000003,  0.000000000,  0.000035229, -0.000014379, -0.000002647,  0.000000583,  0.000000240,  0.000000003
 0.002000000,  0.199998487, -0.000001033, -0.000004257, -0.000000033, -0.000000033,  0.000000001,  0.000047403, -0.000019513, -0.000003546,  0.000000784,  0.000000323,  0.000000006
 0.002500000,  0.249997687, -0.000001843, -0.000002611, -0.000000051, -0.000000006, -0.000000001,  0.000059604, -0.000024677, -0.000004443,  0.000000989,  0.000000407,  0.000000009
 0.003000000,  0.299996354, -0.000002204, -0.000003561, -0.000000064, -0.000000003, -0.000000003,  0.000071821, -0.000029859, -0.000005343,  0.000001189,  0.000000489,  0.000000010
 0.003500000,  0.349995929, -0.000002443,  0.000002211, -0.000000071,  0.000000076,  0.000000000,  0.000084050, -0.000035049, -0.000006240,  0.000001389,  0.000000574,  0.000000010
 0.004000000,  0.399996547, -0.000001786, -0.000000170, -0.000000061,  0.000000031,  0.000000000,  0.000096284, -0.000040244, -0.000007139,  0.000001591,  0.000000654,  0.000000011
 0.004500000,  0.450000811, -0.000006504,  0.000016211, -0.000000044,  0.000000289,  0.000000001,  0.000108520, -0.000045443, -0.000008039,  0.000001794,  0.000000740,  0.000000011
 0.005000000,  0.500000176, -0.000003484,  0.000004709, -0.000000033,  0.000000104, -0.000000001,  0.000120761, -0.000050643, -0.000008936,  0.000001997,  0.000000820,  0.000000016
