Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,   0.05000001,   0.00000002,  -0.00000139,  -0.00000000,  -0.00000002,   0.00000000,   0.00001121,  -0.00000437,  -0.00000086,   0.00000015,   0.00000006,   0.00000000
  0.00100000,   0.09999982,  -0.00000007,  -0.00000305,  -0.00000001,  -0.00000004,   0.00000000,   0.00002322,  -0.00000932,  -0.00000175,   0.00000032,   0.00000013,   0.00000000
  0.00150000,   0.14999902,  -0.00000075,   0.00000140,  -0.00000003,   0.00000004,  -0.00000000,   0.00003537,  -0.00001440,  -0.00000265,   0.00000048,   0.00000020,   0.00000001
  0.00200000,   0.19999847,  -0.00000110,  -0.00000461,  -0.00000004,  -0.00000004,  -0.00000000,   0.00004760,  -0.00001954,  -0.00000355,   0.00000065,   0.00000027,   0.00000001
  0.00250000,   0.24999730,  -0.00000184,  -0.00000978,  -0.00000006,  -0.00000015,   0.00000001,   0.00005985,  -0.00002471,  -0.00000445,   0.00000082,   0.00000034,   0.00000001
  0.00300000,   0.29999537,  -0.00000276,   0.00000309,  -0.00000007,   0.00000011,  -0.00000001,   0.00007212,  -0.00002990,  -0.00000535,   0.00000098,   0.00000041,   0.00000001
  0.00350000,   0.34999541,  -0.00000251,  -0.00000276,  -0.00000007,   0.00000001,   0.00000000,   0.00008440,  -0.00003510,  -0.00000625,   0.00000115,   0.00000048,   0.00000001
  0.00400000,   0.39999606,  -0.00000223,   0.00000488,  -0.00000006,   0.00000011,  -0.00000000,   0.00009668,  -0.00004030,  -0.00000715,   0.00000132,   0.00000054,   0.00000001
  0.00450000,   0.44999730,  -0.00000086,  -0.00000164,  -0.00000005,  -0.00000000,   0.00000000,   0.00010897,  -0.00004551,  -0.00000805,   0.00000149,   0.00000061,   0.00000002
  0.00500000,   0.50000361,  -0.00000840,   0.00002831,  -0.00000003,   0.00000048,  -0.00000002,   0.00012126,  -0.00005072,  -0.00000894,   0.00000166,   0.00000068,   0.00000002
  0.00550000,   0.54999994,  -0.00000079,  -0.00000084,  -0.00000002,   0.00000000,  -0.00000000,   0.00013356,  -0.00005593,  -0.00000985,   0.00000182,   0.00000075,   0.00000002
  0.00600000,   0.59999915,   0.00000087,   0.00000060,  -0.00000001,   0.00000000,  -0.00000000,   0.00014585,  -0.00006114,  -0.00001075,   0.00000199,   0.00000082,   0.00000002
  0.00650000,   0.65000626,  -0.00000551,  -0.00001789,   0.00000001,  -0.00000019,   0.00000001,   0.00015815,  -0.00006636,  -0.00001165,   0.00000216,   0.00000089,   0.00000002
  0.00700000,   0.70000049,  -0.00000067,   0.00000312,   0.00000001,   0.00000006,   0.00000000,   0.00017045,  -0.00007157,  -0.00001254,   0.00000233,   0.00000096,   0.00000002
  0.00750000,   0.74999916,   0.00000092,  -0.00000231,   0.00000000,  -0.00000004,   0.00000000,   0.00018275,  -0.00007679,  -0.00001344,   0.00000250,   0.00000103,   0.00000003
  0.00800000,   0.80000376,  -0.00000704,   0.00002526,   0.00000000,   0.00000044,  -0.00000000,   0.00019506,  -0.00008202,  -0.00001434,   0.00000266,   0.00000110,   0.00000003
