Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,   0.04999989,  -0.00000005,   0.00000075,  -0.00000000,   0.00000001,  -0.00000000,   0.00001125,  -0.00000441,  -0.00000086,   0.00000026,   0.00000008,   0.00000000
  0.00100000,   0.09999966,  -0.00000018,   0.00000175,  -0.00000001,   0.00000003,  -0.00000000,   0.00002329,  -0.00000940,  -0.00000176,   0.00000055,   0.00000016,   0.00000000
  0.00150000,   0.14999916,  -0.00000040,  -0.00000129,  -0.00000003,  -0.00000002,   0.00000000,   0.00003547,  -0.00001452,  -0.00000265,   0.00000083,   0.00000024,   0.00000000
  0.00200000,   0.19999837,  -0.00000103,  -0.00000396,  -0.00000006,  -0.00000006,   0.00000000,   0.00004773,  -0.00001970,  -0.00000355,   0.00000112,   0.00000033,   0.00000001
  0.00250000,   0.24999764,  -0.00000163,  -0.00000446,  -0.00000008,  -0.00000001,  -0.00000000,   0.00006001,  -0.00002491,  -0.00000445,   0.00000141,   0.00000041,   0.00000001
  0.00300000,   0.29999661,  -0.00000208,  -0.00000637,  -0.00000010,  -0.00000005,   0.00000000,   0.00007231,  -0.00003014,  -0.00000536,   0.00000170,   0.00000049,   0.00000001
  0.00350000,   0.34999602,  -0.00000245,   0.00000513,  -0.00000011,   0.00000012,  -0.00000000,   0.00008462,  -0.00003538,  -0.00000625,   0.00000198,   0.00000058,   0.00000001
  0.00400000,   0.39999680,  -0.00000169,  -0.00000148,  -0.00000010,   0.00000001,   0.00000000,   0.00009694,  -0.00004063,  -0.00000716,   0.00000227,   0.00000066,   0.00000001
  0.00450000,   0.45000385,  -0.00001035,   0.00002234,  -0.00000007,   0.00000039,  -0.00000002,   0.00010926,  -0.00004588,  -0.00000805,   0.00000256,   0.00000075,   0.00000001
