Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
 0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000
 0.000500000, -0.000000133,  0.000000055,  0.050000708,  0.000000002,  0.000000010,  0.000000000, -0.000000517, -0.000000723,  0.000002165,  0.000000000, -0.000000175,  0.000000000
 0.001000000, -0.000000273,  0.000000152,  0.100002117,  0.000000003,  0.000000025,  0.000000000, -0.000001115, -0.000001560,  0.000004492, -0.000000002, -0.000000380, -0.000000003
 0.001500000, -0.000000053,  0.000000010,  0.150003672,  0.000000005,  0.000000002,  0.000000000, -0.000001747, -0.000002425,  0.000006862, -0.000000003, -0.000000592, -0.000000003
 0.002000000,  0.000000585,  0.000000757,  0.200002045,  0.000000000,  0.000000168,  0.000000000, -0.000002400, -0.000003305,  0.000009258, -0.000000005, -0.000000810, -0.000000003
 0.002500000, -0.000000645,  0.000001960,  0.250000925,  0.000000027,  0.000001062,  0.000000003, -0.000003073, -0.000004197,  0.000011678, -0.000000007, -0.000001030, -0.000000007
 0.003000000, -0.000001578,  0.000002452,  0.300001128,  0.000000025,  0.000000922,  0.000000005, -0.000003763, -0.000005093,  0.000014112, -0.000000007, -0.000001250, -0.000000007
 0.003500000, -0.000000440,  0.000001408,  0.349999482,  0.000000022,  0.000000740,  0.000000002, -0.000004463, -0.000005997,  0.000016558, -0.000000008, -0.000001473, -0.000000010
 0.004000000, -0.000000515,  0.000001348,  0.399999515,  0.000000023,  0.000000630,  0.000000002, -0.000005173, -0.000006902,  0.000019018, -0.000000010, -0.000001700, -0.000000008
 0.004500000,  0.000000562,  0.000000733,  0.449997880,  0.000000017,  0.000000832, -0.000000003, -0.000005895, -0.000007813,  0.000021488, -0.000000010, -0.000001925, -0.000000012
 0.005000000, -0.000000345,  0.000001235,  0.499997570,  0.000000020,  0.000000640, -0.000000003, -0.000006628, -0.000008728,  0.000023965, -0.000000013, -0.000002153, -0.000000013
 0.005500000,  0.000000637,  0.000000327,  0.549999152,  0.000000017,  0.000000757, -0.000000005, -0.000007370, -0.000009645,  0.000026450, -0.000000017, -0.000002380, -0.000000013
 0.006000000, -0.000000177,  0.000001002,  0.599997532,  0.000000018,  0.000000528, -0.000000002, -0.000008117, -0.000010565,  0.000028942, -0.000000017, -0.000002613, -0.000000015
 0.006500000, -0.000000017,  0.000000742,  0.649998118,  0.000000017,  0.000000482,  0.000000002, -0.000008873, -0.000011487,  0.000031440, -0.000000018, -0.000002842, -0.000000017
 0.007000000, -0.000000135,  0.000000760,  0.699998533,  0.000000015,  0.000000445,  0.000000000, -0.000009638, -0.000012412,  0.000033945, -0.000000018, -0.000003075, -0.000000018
 0.007500000, -0.000000037,  0.000000655,  0.749998477,  0.000000013,  0.000000423,  0.000000000, -0.000010412, -0.000013335,  0.000036457, -0.000000018, -0.000003307, -0.000000018
 0.008000000,  0.000000353,  0.000000465,  0.799998440,  0.000000013,  0.000000512, -0.000000002, -0.000011188, -0.000014265,  0.000038973, -0.000000022, -0.000003542, -0.000000022
 0.008500000,  0.000005130, -0.000002785,  0.849999585,  0.000000017,  0.000000932, -0.000000013, -0.000011970, -0.000015193,  0.000041497, -0.000000022, -0.000003777, -0.000000023
 0.009000000,  0.000021553, -0.000013733,  0.900001490,  0.000000030,  0.000002648, -0.000000005, -0.000012757, -0.000016125,  0.000044025, -0.000000022, -0.000004010, -0.000000025
 0.009500000, -0.000000395,  0.000005483,  0.949974022,  0.000000100,  0.000001058,  0.000000003, -0.000013553, -0.000017055,  0.000046552, -0.000000023, -0.000004245, -0.000000023
 0.010000000, -0.000009583,  0.000016975,  0.999984980,  0.000000128,  0.000001978, -0.000000010, -0.000014352, -0.000017987,  0.000049088, -0.000000027, -0.000004483, -0.000000023
 0.076583330, -0.000015308,  0.000012618,  1.000023648,  0.000000047,  0.000002467, -0.000000015, -0.000017617, -0.000019842,  0.000052602, -0.000000032, -0.000005113, -0.000000030
 0.143166670, -0.000011208,  0.000015567,  0.999974265,  0.000000093,  0.000001855, -0.000000012, -0.000017827, -0.000020360,  0.000053115, -0.000000032, -0.000005248, -0.000000028
 0.209750000, -0.000011752,  0.000015570,  0.999997057,  0.000000098,  0.000002355, -0.000000020, -0.000017887, -0.000020612,  0.000053337, -0.000000032, -0.000005307, -0.000000030
 0.276333330, -0.000009370,  0.000014565,  0.999972588,  0.000000103,  0.000001370, -0.000000015, -0.000017905, -0.000020740,  0.000053442, -0.000000032, -0.000005337, -0.000000030
 0.342916670, -0.000010370,  0.000016950,  0.999975688,  0.000000110,  0.000002268, -0.000000018, -0.000017907, -0.000020802,  0.000053485, -0.000000032, -0.000005352, -0.000000032
 0.409500000, -0.000005848,  0.000012550,  0.999974362,  0.000000133, -0.000000285, -0.000000008, -0.000017908, -0.000020833,  0.000053512, -0.000000032, -0.000005357, -0.000000032
 0.476083330, -0.000007402,  0.000013748,  0.999993833,  0.000000135,  0.000000428,  0.000000000, -0.000017910, -0.000020852,  0.000053523, -0.000000032, -0.000005363, -0.000000030
 0.542666670, -0.000008343,  0.000014912,  1.000000465,  0.000000137,  0.000001172, -0.000000005, -0.000017915, -0.000020862,  0.000053533, -0.000000032, -0.000005363, -0.000000030
 0.609250000, -0.000006750,  0.000009848,  1.000024333,  0.000000142,  0.000000865,  0.000000005, -0.000017915, -0.000020870,  0.000053540, -0.000000032, -0.000005365, -0.000000030
 0.675833330, -0.000005958,  0.000013075,  0.999964595,  0.000000135,  0.000000650, -0.000000007, -0.000017915, -0.000020873,  0.000053542, -0.000000032, -0.000005365, -0.000000030
 0.742416670, -0.000007003,  0.000014050,  0.999972788,  0.000000130,  0.000001245, -0.000000010, -0.000017917, -0.000020880,  0.000053543, -0.000000032, -0.000005365, -0.000000030
 0.809000000, -0.000009010,  0.000014922,  1.000009082,  0.000000128,  0.000002148, -0.000000023, -0.000017917, -0.000020882,  0.000053552, -0.000000032, -0.000005365, -0.000000030
 0.875583330, -0.000009165,  0.000016608,  0.999984258,  0.000000125,  0.000002110, -0.000000022, -0.000017917, -0.000020883,  0.000053553, -0.000000032, -0.000005367, -0.000000030
 0.942166670, -0.000009582,  0.000016910,  0.999984195,  0.000000125,  0.000002098, -0.000000010, -0.000017918, -0.000020890,  0.000053557, -0.000000032, -0.000005367, -0.000000032
 1.008750000, -0.000009383,  0.000017003,  0.999978012,  0.000000123,  0.000001905, -0.000000007, -0.000017925, -0.000020890,  0.000053560, -0.000000032, -0.000005370, -0.000000032
 1.075333300, -0.000009207,  0.000016915,  0.999975953,  0.000000125,  0.000001800, -0.000000012, -0.000017927, -0.000020892,  0.000053562, -0.000000032, -0.000005373, -0.000000032
 1.141916700, -0.000009550,  0.000016697,  0.999986367,  0.000000125,  0.000001968, -0.000000008, -0.000017927, -0.000020893,  0.000053567, -0.000000032, -0.000005373, -0.000000032
 1.208500000, -0.000009437,  0.000016633,  0.999984598,  0.000000128,  0.000001960, -0.000000007, -0.000017927, -0.000020900,  0.000053570, -0.000000032, -0.000005373, -0.000000032
 1.275083300, -0.000009945,  0.000016590,  0.999997923,  0.000000125,  0.000002148, -0.000000008, -0.000017928, -0.000020900,  0.000053573, -0.000000032, -0.000005373, -0.000000032
 1.341666700, -0.000009743,  0.000016623,  0.999992212,  0.000000127,  0.000002070, -0.000000008, -0.000017935, -0.000020900,  0.000053577, -0.000000032, -0.000005373, -0.000000032
 1.408250000, -0.000009135,  0.000017302,  0.999967643,  0.000000125,  0.000001708, -0.000000007, -0.000017935, -0.000020902,  0.000053582, -0.000000032, -0.000005373, -0.000000032
 1.474833300, -0.000009672,  0.000016827,  0.999987557,  0.000000128,  0.000002007, -0.000000010, -0.000017937, -0.000020903,  0.000053583, -0.000000032, -0.000005375, -0.000000032
 1.541416700, -0.000009577,  0.000016702,  0.999985697,  0.000000132,  0.000001992, -0.000000002, -0.000017938, -0.000020908,  0.000053587, -0.000000032, -0.000005375, -0.000000032
 1.608000000, -0.000009432,  0.000016853,  0.999982807,  0.000000128,  0.000001950, -0.000000007, -0.000017940, -0.000020910,  0.000053590, -0.000000032, -0.000005375, -0.000000032
 1.674583300, -0.000008858,  0.000017253,  0.999963500,  0.000000127,  0.000001667, -0.000000010, -0.000017945, -0.000020910,  0.000053592, -0.000000032, -0.000005375, -0.000000032
 1.741166700, -0.000009373,  0.000017088,  0.999977283,  0.000000127,  0.000001870, -0.000000008, -0.000017947, -0.000020910,  0.000053595, -0.000000032, -0.000005375, -0.000000032
 1.807750000, -0.000009762,  0.000016958,  0.999989607,  0.000000128,  0.000002050, -0.000000010, -0.000017947, -0.000020910,  0.000053600, -0.000000032, -0.000005378, -0.000000032
 1.874333300, -0.000009737,  0.000016893,  0.999988332,  0.000000132,  0.000002032, -0.000000005, -0.000017948, -0.000020910,  0.000053603, -0.000000032, -0.000005382, -0.000000032
 1.940916700, -0.000009992,  0.000016663,  0.999999128,  0.000000127,  0.000002187, -0.000000005, -0.000017955, -0.000020913,  0.000053607, -0.000000032, -0.000005383, -0.000000032
 2.007500000, -0.000008863,  0.000017332,  0.999962263,  0.000000128,  0.000001662, -0.000000010, -0.000017955, -0.000020915,  0.000053608, -0.000000032, -0.000005383, -0.000000032
 2.074083300, -0.000009402,  0.000016935,  0.999982392,  0.000000132,  0.000001942, -0.000000010, -0.000017957, -0.000020918,  0.000053610, -0.000000032, -0.000005383, -0.000000032
 2.140666700, -0.000009580,  0.000016953,  0.999986803,  0.000000128,  0.000002007, -0.000000008, -0.000017958, -0.000020920,  0.000053618, -0.000000032, -0.000005383, -0.000000032
 2.207250000, -0.000009352,  0.000017092,  0.999977935,  0.000000125,  0.000001873, -0.000000007, -0.000017963, -0.000020920,  0.000053620, -0.000000032, -0.000005383, -0.000000032
 2.273833300, -0.000009735,  0.000016858,  0.999989710,  0.000000123,  0.000002033, -0.000000005, -0.000017967, -0.000020920,  0.000053623, -0.000000032, -0.000005385, -0.000000032
 2.340416700, -0.000009997,  0.000016705,  0.999999955,  0.000000127,  0.000002183, -0.000000013, -0.000017967, -0.000020920,  0.000053625, -0.000000032, -0.000005385, -0.000000032
 2.407000000, -0.000009952,  0.000016702,  0.999998618,  0.000000128,  0.000002177, -0.000000017, -0.000017968, -0.000020922,  0.000053632, -0.000000032, -0.000005385, -0.000000032
 2.473583300, -0.000009612,  0.000016890,  0.999985422,  0.000000127,  0.000001983, -0.000000012, -0.000017972, -0.000020923,  0.000053632, -0.000000033, -0.000005385, -0.000000032
 2.540166700, -0.000009257,  0.000017110,  0.999973355,  0.000000127,  0.000001803, -0.000000012, -0.000017977, -0.000020923,  0.000053633, -0.000000033, -0.000005385, -0.000000032
 2.606750000, -0.000009772,  0.000016877,  0.999990497,  0.000000127,  0.000002053, -0.000000012, -0.000017977, -0.000020923,  0.000053640, -0.000000033, -0.000005385, -0.000000032
 2.673333300, -0.000009938,  0.000016743,  0.999997372,  0.000000132,  0.000002153, -0.000000017, -0.000017978, -0.000020927,  0.000053642, -0.000000033, -0.000005392, -0.000000032
 2.739916700, -0.000009803,  0.000016827,  0.999992027,  0.000000127,  0.000002077, -0.000000007, -0.000017982, -0.000020928,  0.000053642, -0.000000033, -0.000005392, -0.000000032
 2.806500000, -0.000009518,  0.000016997,  0.999982280,  0.000000128,  0.000001937, -0.000000010, -0.000017987, -0.000020928,  0.000053647, -0.000000033, -0.000005392, -0.000000030
 2.873083300, -0.000009222,  0.000017148,  0.999972935,  0.000000127,  0.000001797, -0.000000012, -0.000017987, -0.000020930,  0.000053652, -0.000000033, -0.000005393, -0.000000030
 2.939666700, -0.000009688,  0.000016907,  0.999989037,  0.000000128,  0.000002017, -0.000000012, -0.000017987, -0.000020930,  0.000053653, -0.000000033, -0.000005393, -0.000000030
 3.006250000, -0.000010263,  0.000016558,  1.000008700,  0.000000128,  0.000002302, -0.000000005, -0.000017992, -0.000020930,  0.000053658, -0.000000033, -0.000005393, -0.000000030
 3.072833300, -0.000009880,  0.000016725,  0.999994825,  0.000000128,  0.000002110, -0.000000007, -0.000017997, -0.000020932,  0.000053662, -0.000000033, -0.000005393, -0.000000030
 3.139416700, -0.000008827,  0.000017375,  0.999959718,  0.000000125,  0.000001617, -0.000000010, -0.000017997, -0.000020932,  0.000053662, -0.000000033, -0.000005395, -0.000000030
 3.206000000, -0.000009668,  0.000016905,  0.999989505,  0.000000123,  0.000002037, -0.000000010, -0.000017998, -0.000020932,  0.000053665, -0.000000033, -0.000005395, -0.000000030
 3.272583300, -0.000009352,  0.000017068,  0.999978447,  0.000000128,  0.000001880, -0.000000013, -0.000018002, -0.000020933,  0.000053670, -0.000000032, -0.000005395, -0.000000030
 3.339166700, -0.000010182,  0.000016605,  1.000004095,  0.000000130,  0.000002235, -0.000000017, -0.000018007, -0.000020933,  0.000053672, -0.000000032, -0.000005395, -0.000000030
 3.405750000, -0.000009832,  0.000016822,  0.999993460,  0.000000127,  0.000002093, -0.000000017, -0.000018007, -0.000020937,  0.000053677, -0.000000032, -0.000005397, -0.000000030
 3.472333300, -0.000009555,  0.000017008,  0.999983812,  0.000000127,  0.000001965, -0.000000008, -0.000018008, -0.000020938,  0.000053680, -0.000000032, -0.000005398, -0.000000030
 3.538916700, -0.000009573,  0.000016972,  0.999984912,  0.000000127,  0.000001978, -0.000000012, -0.000018012, -0.000020940,  0.000053682, -0.000000032, -0.000005400, -0.000000030
 3.605500000, -0.000008915,  0.000017332,  0.999964090,  0.000000127,  0.000001680, -0.000000005, -0.000018015, -0.000020940,  0.000053683, -0.000000032, -0.000005402, -0.000000030
 3.672083300, -0.000008758,  0.000017422,  0.999957563,  0.000000128,  0.000001590, -0.000000008, -0.000018017, -0.000020940,  0.000053688, -0.000000032, -0.000005402, -0.000000030
 3.738666700, -0.000009257,  0.000017112,  0.999973928,  0.000000128,  0.000001818,  0.000000000, -0.000018018, -0.000020940,  0.000053690, -0.000000032, -0.000005402, -0.000000030
 3.805250000, -0.000009702,  0.000016888,  0.999989173,  0.000000128,  0.000002038, -0.000000007, -0.000018023, -0.000020940,  0.000053693, -0.000000032, -0.000005403, -0.000000030
 3.871833300, -0.000009495,  0.000017028,  0.999982852,  0.000000128,  0.000001943, -0.000000003, -0.000018027, -0.000020940,  0.000053698, -0.000000032, -0.000005403, -0.000000030
 3.938416700, -0.000009795,  0.000016840,  0.999992285,  0.000000128,  0.000002073, -0.000000013, -0.000018027, -0.000020940,  0.000053700, -0.000000032, -0.000005403, -0.000000030
 4.005000000, -0.000008905,  0.000017347,  0.999963038,  0.000000128,  0.000001660, -0.000000015, -0.000018028, -0.000020940,  0.000053702, -0.000000032, -0.000005405, -0.000000030
 4.071583300, -0.000009480,  0.000017018,  0.999981438,  0.000000128,  0.000001917, -0.000000008, -0.000018033, -0.000020943,  0.000053707, -0.000000032, -0.000005405, -0.000000030
 4.138166700, -0.000009573,  0.000016965,  0.999986342,  0.000000128,  0.000001983, -0.000000003, -0.000018037, -0.000020943,  0.000053710, -0.000000032, -0.000005407, -0.000000030
 4.204750000, -0.000009837,  0.000016818,  0.999993393,  0.000000128,  0.000002100, -0.000000013, -0.000018037, -0.000020945,  0.000053712, -0.000000032, -0.000005407, -0.000000030
 4.271333300, -0.000009638,  0.000016935,  0.999986567,  0.000000130,  0.000002003, -0.000000012, -0.000018040, -0.000020947,  0.000053715, -0.000000032, -0.000005407, -0.000000030
 4.337916700, -0.000009888,  0.000016787,  0.999995325,  0.000000127,  0.000002132, -0.000000007, -0.000018043, -0.000020950,  0.000053720, -0.000000032, -0.000005408, -0.000000030
 4.404500000, -0.000010245,  0.000016587,  1.000006160,  0.000000130,  0.000002280, -0.000000010, -0.000018047, -0.000020950,  0.000053722, -0.000000032, -0.000005410, -0.000000030
