Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,  -0.00000032,   0.00000012,   0.05000146,   0.00000000,   0.00000002,   0.00000000,  -0.00000050,  -0.00000070,   0.00000210,  -0.00000000,  -0.00000018,  -0.00000001
  0.00100000,   0.00000012,   0.00000003,   0.09999999,   0.00000000,   0.00000000,   0.00000000,  -0.00000108,  -0.00000152,   0.00000435,  -0.00000000,  -0.00000039,  -0.00000002
  0.00150000,  -0.00000034,  -0.00000014,   0.15000427,  -0.00000000,   0.00000021,  -0.00000000,  -0.00000169,  -0.00000236,   0.00000665,  -0.00000000,  -0.00000061,  -0.00000003
  0.00200000,   0.00000051,   0.00000194,   0.20000314,  -0.00000001,   0.00000031,   0.00000000,  -0.00000232,  -0.00000322,   0.00000897,  -0.00000000,  -0.00000083,  -0.00000004
  0.00250000,   0.00000009,   0.00000180,   0.25000286,  -0.00000001,   0.00000020,   0.00000000,  -0.00000297,  -0.00000409,   0.00001132,  -0.00000000,  -0.00000106,  -0.00000005
  0.00300000,   0.00000004,   0.00000144,   0.30000192,  -0.00000000,   0.00000016,   0.00000000,  -0.00000364,  -0.00000496,   0.00001368,  -0.00000000,  -0.00000128,  -0.00000006
  0.00350000,  -0.00000005,   0.00000124,   0.35000174,  -0.00000000,   0.00000014,   0.00000000,  -0.00000432,  -0.00000584,   0.00001605,  -0.00000000,  -0.00000151,  -0.00000007
  0.00400000,  -0.00000007,   0.00000109,   0.40000145,  -0.00000000,   0.00000013,   0.00000000,  -0.00000500,  -0.00000672,   0.00001843,  -0.00000000,  -0.00000174,  -0.00000008
  0.00450000,   0.00000450,  -0.00000125,   0.44999717,  -0.00000002,   0.00000172,  -0.00000003,  -0.00000570,  -0.00000761,   0.00002082,  -0.00000000,  -0.00000197,  -0.00000009
  0.00500000,  -0.00000014,   0.00000155,   0.49999314,  -0.00000000,   0.00000088,  -0.00000003,  -0.00000641,  -0.00000850,   0.00002322,  -0.00000000,  -0.00000221,  -0.00000010
  0.00550000,   0.00000427,  -0.00000257,   0.55000466,   0.00000000,   0.00000177,  -0.00000004,  -0.00000713,  -0.00000940,   0.00002563,  -0.00000000,  -0.00000244,  -0.00000011
  0.00600000,   0.00000014,   0.00000114,   0.59999362,   0.00000000,   0.00000064,  -0.00000002,  -0.00000785,  -0.00001029,   0.00002805,  -0.00000000,  -0.00000268,  -0.00000012
  0.00650000,   0.00000003,   0.00000064,   0.64999789,  -0.00000001,   0.00000051,  -0.00000001,  -0.00000858,  -0.00001119,   0.00003047,  -0.00000000,  -0.00000291,  -0.00000013
  0.00700000,   0.00000005,   0.00000034,   0.69999973,  -0.00000001,   0.00000046,  -0.00000001,  -0.00000932,  -0.00001209,   0.00003290,  -0.00000000,  -0.00000315,  -0.00000014
  0.00750000,  -0.00000021,   0.00000061,   0.74999947,  -0.00000001,   0.00000046,  -0.00000001,  -0.00001007,  -0.00001299,   0.00003533,  -0.00000000,  -0.00000339,  -0.00000015
  0.00800000,   0.00000276,  -0.00000091,   0.79999889,  -0.00000001,   0.00000116,  -0.00000002,  -0.00001082,  -0.00001389,   0.00003777,  -0.00000000,  -0.00000363,  -0.00000016
  0.00850000,   0.00000005,   0.00000110,   0.84999381,   0.00000000,   0.00000054,  -0.00000002,  -0.00001158,  -0.00001480,   0.00004021,  -0.00000000,  -0.00000387,  -0.00000017
  0.00900000,   0.00000241,  -0.00000133,   0.90000281,   0.00000000,   0.00000102,  -0.00000003,  -0.00001234,  -0.00001570,   0.00004266,  -0.00000000,  -0.00000411,  -0.00000018
  0.00950000,   0.00000013,   0.00000085,   0.94999485,  -0.00000000,   0.00000039,  -0.00000001,  -0.00001311,  -0.00001661,   0.00004511,  -0.00000000,  -0.00000435,  -0.00000019
  0.01000000,   0.00002498,  -0.00001494,   0.99999855,  -0.00000002,   0.00000256,  -0.00000007,  -0.00001388,  -0.00001752,   0.00004757,  -0.00000001,  -0.00000459,  -0.00000020
  0.07658333,   0.00002010,  -0.00001852,   1.00004590,   0.00000002,   0.00000325,  -0.00000007,  -0.00001702,  -0.00001932,   0.00005097,  -0.00000001,  -0.00000522,  -0.00000022
  0.14316667,   0.00002367,  -0.00001590,   0.99999831,  -0.00000001,   0.00000257,  -0.00000007,  -0.00001722,  -0.00001982,   0.00005146,  -0.00000001,  -0.00000536,  -0.00000022
  0.20975000,   0.00002233,  -0.00001435,   1.00000680,  -0.00000002,   0.00000417,  -0.00000011,  -0.00001728,  -0.00002007,   0.00005168,  -0.00000001,  -0.00000542,  -0.00000023
  0.27633333,   0.00002528,  -0.00001592,   0.99998188,  -0.00000001,   0.00000173,  -0.00000008,  -0.00001730,  -0.00002019,   0.00005178,  -0.00000001,  -0.00000545,  -0.00000023
  0.34291667,   0.00002156,  -0.00001129,   0.99999044,  -0.00000002,   0.00000390,  -0.00000011,  -0.00001730,  -0.00002026,   0.00005182,  -0.00000001,  -0.00000546,  -0.00000023
  0.40950000,   0.00002886,  -0.00001938,   0.99998582,  -0.00000003,   0.00000030,  -0.00000003,  -0.00001730,  -0.00002029,   0.00005184,  -0.00000001,  -0.00000547,  -0.00000023
  0.47608333,   0.00002744,  -0.00001886,   1.00001330,  -0.00000003,   0.00000077,  -0.00000003,  -0.00001731,  -0.00002031,   0.00005186,  -0.00000001,  -0.00000547,  -0.00000023
  0.54266667,   0.00002639,  -0.00001724,   1.00001380,  -0.00000003,   0.00000157,  -0.00000006,  -0.00001731,  -0.00002032,   0.00005187,  -0.00000001,  -0.00000547,  -0.00000023
  0.60925000,   0.00002769,  -0.00002236,   1.00004820,  -0.00000003,   0.00000151,  -0.00000007,  -0.00001731,  -0.00002032,   0.00005187,  -0.00000001,  -0.00000547,  -0.00000023
  0.67583333,   0.00003067,  -0.00002003,   0.99995422,  -0.00000003,   0.00000044,  -0.00000006,  -0.00001731,  -0.00002033,   0.00005187,  -0.00000001,  -0.00000547,  -0.00000023
  0.74241667,   0.00002942,  -0.00001980,   0.99998213,  -0.00000003,   0.00000106,  -0.00000006,  -0.00001731,  -0.00002033,   0.00005188,  -0.00000001,  -0.00000547,  -0.00000023
  0.80900000,   0.00002492,  -0.00002024,   1.00009480,  -0.00000002,   0.00000304,  -0.00000008,  -0.00001731,  -0.00002034,   0.00005189,  -0.00000001,  -0.00000547,  -0.00000023
  0.87558333,   0.00002503,  -0.00001538,   1.00000650,  -0.00000002,   0.00000256,  -0.00000007,  -0.00001731,  -0.00002034,   0.00005189,  -0.00000001,  -0.00000548,  -0.00000023
  0.94216667,   0.00002545,  -0.00001434,   0.99997570,  -0.00000002,   0.00000235,  -0.00000006,  -0.00001731,  -0.00002034,   0.00005189,  -0.00000001,  -0.00000548,  -0.00000023
  1.00875000,   0.00002595,  -0.00001433,   0.99996569,  -0.00000002,   0.00000217,  -0.00000006,  -0.00001732,  -0.00002034,   0.00005189,  -0.00000001,  -0.00000548,  -0.00000023
  1.07533330,   0.00002720,  -0.00001429,   0.99993774,  -0.00000001,   0.00000173,  -0.00000006,  -0.00001732,  -0.00002034,   0.00005189,  -0.00000001,  -0.00000548,  -0.00000023
  1.14191670,   0.00002494,  -0.00001553,   1.00000800,  -0.00000002,   0.00000269,  -0.00000006,  -0.00001732,  -0.00002035,   0.00005190,  -0.00000001,  -0.00000548,  -0.00000023
  1.20850000,   0.00002503,  -0.00001504,   0.99999879,  -0.00000002,   0.00000256,  -0.00000007,  -0.00001732,  -0.00002035,   0.00005190,  -0.00000001,  -0.00000548,  -0.00000023
  1.27508330,   0.00002469,  -0.00001518,   1.00000690,  -0.00000002,   0.00000267,  -0.00000007,  -0.00001732,  -0.00002035,   0.00005191,  -0.00000001,  -0.00000548,  -0.00000023
  1.34166670,   0.00002490,  -0.00001528,   1.00000320,  -0.00000002,   0.00000262,  -0.00000007,  -0.00001733,  -0.00002035,   0.00005191,  -0.00000001,  -0.00000548,  -0.00000023
  1.40825000,   0.00002507,  -0.00001505,   0.99999704,  -0.00000002,   0.00000253,  -0.00000007,  -0.00001733,  -0.00002036,   0.00005191,  -0.00000001,  -0.00000548,  -0.00000023
  1.47483330,   0.00002474,  -0.00001518,   1.00000710,  -0.00000002,   0.00000268,  -0.00000007,  -0.00001733,  -0.00002036,   0.00005192,  -0.00000001,  -0.00000548,  -0.00000023
  1.54141670,   0.00002491,  -0.00001523,   1.00000410,  -0.00000002,   0.00000264,  -0.00000007,  -0.00001733,  -0.00002036,   0.00005192,  -0.00000001,  -0.00000548,  -0.00000023
  1.60800000,   0.00002486,  -0.00001541,   1.00000890,  -0.00000002,   0.00000271,  -0.00000006,  -0.00001733,  -0.00002036,   0.00005192,  -0.00000001,  -0.00000548,  -0.00000023
  1.67458330,   0.00002532,  -0.00001494,   0.99999165,  -0.00000002,   0.00000246,  -0.00000007,  -0.00001734,  -0.00002036,   0.00005192,  -0.00000001,  -0.00000548,  -0.00000023
  1.74116670,   0.00002499,  -0.00001501,   0.99999937,  -0.00000003,   0.00000257,  -0.00000007,  -0.00001734,  -0.00002036,   0.00005193,  -0.00000001,  -0.00000548,  -0.00000023
  1.80775000,   0.00002668,  -0.00001372,   0.99994188,  -0.00000003,   0.00000177,  -0.00000008,  -0.00001734,  -0.00002036,   0.00005193,  -0.00000001,  -0.00000549,  -0.00000023
  1.87433330,   0.00002557,  -0.00001452,   0.99997897,  -0.00000002,   0.00000230,  -0.00000006,  -0.00001734,  -0.00002036,   0.00005193,  -0.00000001,  -0.00000549,  -0.00000023
  1.94091670,   0.00002354,  -0.00001595,   1.00005120,  -0.00000003,   0.00000334,  -0.00000006,  -0.00001735,  -0.00002037,   0.00005194,  -0.00000001,  -0.00000549,  -0.00000023
  2.00750000,   0.00002667,  -0.00001414,   0.99994975,  -0.00000003,   0.00000190,  -0.00000007,  -0.00001735,  -0.00002037,   0.00005194,  -0.00000001,  -0.00000549,  -0.00000023
  2.07408330,   0.00002548,  -0.00001483,   0.99998851,  -0.00000002,   0.00000244,  -0.00000008,  -0.00001735,  -0.00002037,   0.00005194,  -0.00000001,  -0.00000549,  -0.00000023
  2.14066670,   0.00002568,  -0.00001465,   0.99997846,  -0.00000002,   0.00000228,  -0.00000006,  -0.00001735,  -0.00002037,   0.00005195,  -0.00000001,  -0.00000549,  -0.00000023
  2.20725000,   0.00002497,  -0.00001499,   0.99999966,  -0.00000002,   0.00000257,  -0.00000007,  -0.00001735,  -0.00002037,   0.00005195,  -0.00000001,  -0.00000549,  -0.00000023
  2.27383330,   0.00002506,  -0.00001492,   0.99999594,  -0.00000002,   0.00000252,  -0.00000007,  -0.00001736,  -0.00002037,   0.00005195,  -0.00000001,  -0.00000549,  -0.00000023
  2.34041670,   0.00002379,  -0.00001551,   1.00004120,  -0.00000002,   0.00000318,  -0.00000009,  -0.00001736,  -0.00002037,   0.00005196,  -0.00000001,  -0.00000549,  -0.00000023
  2.40700000,   0.00002519,  -0.00001479,   0.99999212,  -0.00000002,   0.00000247,  -0.00000007,  -0.00001736,  -0.00002037,   0.00005196,  -0.00000001,  -0.00000549,  -0.00000023
  2.47358330,   0.00002474,  -0.00001512,   1.00000610,  -0.00000002,   0.00000267,  -0.00000007,  -0.00001736,  -0.00002038,   0.00005196,  -0.00000001,  -0.00000549,  -0.00000023
  2.54016670,   0.00002508,  -0.00001495,   0.99999656,  -0.00000002,   0.00000253,  -0.00000007,  -0.00001737,  -0.00002038,   0.00005196,  -0.00000001,  -0.00000549,  -0.00000023
  2.60675000,   0.00002249,  -0.00001620,   1.00007750,  -0.00000003,   0.00000369,  -0.00000006,  -0.00001737,  -0.00002038,   0.00005197,  -0.00000001,  -0.00000549,  -0.00000023
  2.67333330,   0.00002490,  -0.00001493,   1.00000080,  -0.00000002,   0.00000260,  -0.00000007,  -0.00001737,  -0.00002038,   0.00005197,  -0.00000001,  -0.00000550,  -0.00000023
  2.73991670,   0.00002512,  -0.00001486,   0.99999455,  -0.00000002,   0.00000250,  -0.00000007,  -0.00001737,  -0.00002038,   0.00005197,  -0.00000001,  -0.00000550,  -0.00000023
  2.80650000,   0.00002571,  -0.00001462,   0.99997724,  -0.00000002,   0.00000225,  -0.00000007,  -0.00001738,  -0.00002038,   0.00005198,  -0.00000001,  -0.00000550,  -0.00000023
  2.87308330,   0.00002607,  -0.00001448,   0.99996678,  -0.00000003,   0.00000210,  -0.00000007,  -0.00001738,  -0.00002038,   0.00005198,  -0.00000001,  -0.00000550,  -0.00000023
  2.93966670,   0.00002484,  -0.00001509,   1.00000560,  -0.00000002,   0.00000265,  -0.00000007,  -0.00001738,  -0.00002038,   0.00005198,  -0.00000001,  -0.00000550,  -0.00000023
  3.00625000,   0.00002502,  -0.00001493,   0.99999796,  -0.00000002,   0.00000255,  -0.00000007,  -0.00001738,  -0.00002038,   0.00005199,  -0.00000001,  -0.00000550,  -0.00000023
  3.07283330,   0.00002484,  -0.00001501,   1.00000290,  -0.00000002,   0.00000262,  -0.00000007,  -0.00001739,  -0.00002038,   0.00005199,  -0.00000001,  -0.00000550,  -0.00000023
  3.13941670,   0.00002692,  -0.00001379,   0.99993319,  -0.00000003,   0.00000166,  -0.00000007,  -0.00001739,  -0.00002038,   0.00005199,  -0.00000001,  -0.00000550,  -0.00000023
  3.20600000,   0.00002534,  -0.00001470,   0.99998705,  -0.00000002,   0.00000240,  -0.00000007,  -0.00001739,  -0.00002038,   0.00005199,  -0.00000001,  -0.00000550,  -0.00000023
  3.27258330,   0.00002620,  -0.00001425,   0.99996095,  -0.00000002,   0.00000204,  -0.00000007,  -0.00001739,  -0.00002039,   0.00005200,  -0.00000001,  -0.00000550,  -0.00000023
  3.33916670,   0.00002524,  -0.00001482,   0.99999120,  -0.00000002,   0.00000246,  -0.00000008,  -0.00001740,  -0.00002039,   0.00005200,  -0.00000001,  -0.00000550,  -0.00000023
  3.40575000,   0.00002343,  -0.00001587,   1.00005380,  -0.00000002,   0.00000336,  -0.00000010,  -0.00001740,  -0.00002039,   0.00005201,  -0.00000001,  -0.00000551,  -0.00000023
  3.47233330,   0.00002497,  -0.00001494,   0.99999946,  -0.00000002,   0.00000257,  -0.00000007,  -0.00001740,  -0.00002039,   0.00005201,  -0.00000001,  -0.00000551,  -0.00000023
  3.53891670,   0.00002475,  -0.00001506,   1.00000430,  -0.00000002,   0.00000263,  -0.00000007,  -0.00001740,  -0.00002039,   0.00005201,  -0.00000001,  -0.00000551,  -0.00000023
  3.60550000,   0.00002516,  -0.00001485,   0.99999201,  -0.00000002,   0.00000246,  -0.00000007,  -0.00001741,  -0.00002039,   0.00005201,  -0.00000001,  -0.00000551,  -0.00000023
  3.67208330,   0.00002537,  -0.00001476,   0.99998528,  -0.00000002,   0.00000237,  -0.00000007,  -0.00001741,  -0.00002039,   0.00005202,  -0.00000001,  -0.00000551,  -0.00000023
  3.73866670,   0.00002595,  -0.00001447,   0.99996559,  -0.00000002,   0.00000209,  -0.00000007,  -0.00001741,  -0.00002039,   0.00005202,  -0.00000001,  -0.00000551,  -0.00000023
  3.80525000,   0.00002490,  -0.00001503,   1.00000160,  -0.00000002,   0.00000259,  -0.00000007,  -0.00001741,  -0.00002039,   0.00005202,  -0.00000001,  -0.00000551,  -0.00000023
  3.87183330,   0.00002480,  -0.00001507,   1.00000570,  -0.00000002,   0.00000265,  -0.00000007,  -0.00001742,  -0.00002039,   0.00005203,  -0.00000001,  -0.00000551,  -0.00000023
  3.93841670,   0.00002423,  -0.00001538,   1.00002540,  -0.00000002,   0.00000293,  -0.00000008,  -0.00001742,  -0.00002039,   0.00005203,  -0.00000001,  -0.00000551,  -0.00000023
  4.00500000,   0.00002504,  -0.00001492,   0.99999652,  -0.00000002,   0.00000253,  -0.00000007,  -0.00001742,  -0.00002039,   0.00005203,  -0.00000001,  -0.00000551,  -0.00000023
  4.07158330,   0.00002491,  -0.00001499,   1.00000020,  -0.00000002,   0.00000258,  -0.00000007,  -0.00001742,  -0.00002040,   0.00005203,  -0.00000001,  -0.00000551,  -0.00000023
  4.13816670,   0.00002511,  -0.00001488,   0.99999436,  -0.00000002,   0.00000249,  -0.00000007,  -0.00001743,  -0.00002040,   0.00005204,  -0.00000001,  -0.00000552,  -0.00000023
  4.20475000,   0.00002288,  -0.00001611,   1.00006760,  -0.00000002,   0.00000354,  -0.00000008,  -0.00001743,  -0.00002040,   0.00005204,  -0.00000001,  -0.00000552,  -0.00000023
  4.27133330,   0.00002494,  -0.00001496,   0.99999984,  -0.00000002,   0.00000258,  -0.00000007,  -0.00001743,  -0.00002040,   0.00005204,  -0.00000001,  -0.00000552,  -0.00000023
  4.33791670,   0.00002536,  -0.00001473,   0.99998340,  -0.00000002,   0.00000233,  -0.00000006,  -0.00001743,  -0.00002040,   0.00005204,  -0.00000001,  -0.00000552,  -0.00000023
  4.40450000,   0.00002465,  -0.00001514,   1.00000980,  -0.00000002,   0.00000271,  -0.00000007,  -0.00001744,  -0.00002040,   0.00005205,  -0.00000001,  -0.00000552,  -0.00000023
  4.47108330,   0.00002502,  -0.00001494,   0.99999797,  -0.00000002,   0.00000255,  -0.00000007,  -0.00001744,  -0.00002040,   0.00005205,  -0.00000001,  -0.00000552,  -0.00000023
  4.53766670,   0.00002546,  -0.00001469,   0.99998310,  -0.00000002,   0.00000233,  -0.00000007,  -0.00001744,  -0.00002040,   0.00005205,  -0.00000001,  -0.00000552,  -0.00000023
  4.60425000,   0.00002627,  -0.00001421,   0.99995612,  -0.00000002,   0.00000195,  -0.00000007,  -0.00001744,  -0.00002040,   0.00005206,  -0.00000001,  -0.00000552,  -0.00000023
  4.67083330,   0.00002294,  -0.00001614,   1.00006550,  -0.00000002,   0.00000349,  -0.00000007,  -0.00001745,  -0.00002040,   0.00005206,  -0.00000001,  -0.00000552,  -0.00000023
  4.73741670,   0.00002470,  -0.00001517,   1.00000930,  -0.00000002,   0.00000272,  -0.00000007,  -0.00001745,  -0.00002040,   0.00005206,  -0.00000001,  -0.00000552,  -0.00000023
  4.80400000,   0.00002303,  -0.00001610,   1.00006120,  -0.00000002,   0.00000344,  -0.00000007,  -0.00001745,  -0.00002040,   0.00005207,  -0.00000001,  -0.00000552,  -0.00000023
  4.87058330,   0.00002470,  -0.00001514,   1.00000780,  -0.00000002,   0.00000269,  -0.00000007,  -0.00001745,  -0.00002040,   0.00005207,  -0.00000001,  -0.00000552,  -0.00000023
  4.93716670,   0.00002690,  -0.00001385,   0.99993314,  -0.00000002,   0.00000164,  -0.00000007,  -0.00001746,  -0.00002040,   0.00005207,  -0.00000001,  -0.00000553,  -0.00000023
