Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,  -0.00000012,  -0.00000002,   0.05000121,   0.00000001,   0.00000002,  -0.00000000,  -0.00000052,  -0.00000073,   0.00000219,  -0.00000000,  -0.00000017,   0.00000002
  0.00100000,  -0.00000029,   0.00000017,   0.10000238,   0.00000001,   0.00000003,  -0.00000000,  -0.00000113,  -0.00000157,   0.00000455,  -0.00000001,  -0.00000037,   0.00000004
  0.00150000,   0.00000003,   0.00000006,   0.15000396,   0.00000000,  -0.00000004,  -0.00000001,  -0.00000177,  -0.00000245,   0.00000695,  -0.00000001,  -0.00000057,   0.00000006
  0.00200000,   0.00000055,   0.00000019,   0.20000181,  -0.00000000,   0.00000009,  -0.00000000,  -0.00000244,  -0.00000334,   0.00000938,  -0.00000001,  -0.00000079,   0.00000008
  0.00250000,  -0.00000070,   0.00000189,   0.25000103,   0.00000009,   0.00000121,   0.00000003,  -0.00000312,  -0.00000424,   0.00001184,  -0.00000002,  -0.00000100,   0.00000010
  0.00300000,  -0.00000196,   0.00000273,   0.30000127,   0.00000006,   0.00000108,   0.00000003,  -0.00000382,  -0.00000514,   0.00001430,  -0.00000002,  -0.00000121,   0.00000012
  0.00350000,  -0.00000051,   0.00000142,   0.34999943,   0.00000006,   0.00000085,   0.00000002,  -0.00000453,  -0.00000605,   0.00001678,  -0.00000002,  -0.00000143,   0.00000014
  0.00400000,  -0.00000058,   0.00000139,   0.39999933,   0.00000006,   0.00000073,   0.00000002,  -0.00000525,  -0.00000697,   0.00001927,  -0.00000003,  -0.00000165,   0.00000016
  0.00450000,  -0.00000025,   0.00000118,   0.44999809,   0.00000006,   0.00000065,   0.00000002,  -0.00000598,  -0.00000789,   0.00002178,  -0.00000003,  -0.00000187,   0.00000018
  0.00500000,  -0.00000038,   0.00000118,   0.49999860,   0.00000006,   0.00000059,   0.00000002,  -0.00000672,  -0.00000881,   0.00002429,  -0.00000003,  -0.00000209,   0.00000020
  0.00550000,  -0.00000010,   0.00000094,   0.54999805,   0.00000005,   0.00000055,   0.00000002,  -0.00000748,  -0.00000974,   0.00002680,  -0.00000004,  -0.00000231,   0.00000022
  0.00600000,  -0.00000023,   0.00000098,   0.59999838,   0.00000005,   0.00000050,   0.00000002,  -0.00000824,  -0.00001067,   0.00002933,  -0.00000004,  -0.00000254,   0.00000024
  0.00650000,  -0.00000003,   0.00000079,   0.64999816,   0.00000005,   0.00000047,   0.00000002,  -0.00000900,  -0.00001160,   0.00003186,  -0.00000005,  -0.00000276,   0.00000026
  0.00700000,  -0.00000016,   0.00000085,   0.69999831,   0.00000005,   0.00000044,   0.00000001,  -0.00000978,  -0.00001253,   0.00003440,  -0.00000005,  -0.00000299,   0.00000028
  0.00750000,  -0.00000000,   0.00000069,   0.74999826,   0.00000004,   0.00000041,   0.00000001,  -0.00001056,  -0.00001346,   0.00003695,  -0.00000005,  -0.00000321,   0.00000030
  0.00800000,  -0.00000012,   0.00000075,   0.79999834,   0.00000004,   0.00000038,   0.00000001,  -0.00001135,  -0.00001440,   0.00003950,  -0.00000006,  -0.00000344,   0.00000032
  0.00850000,   0.00000001,   0.00000060,   0.84999840,   0.00000004,   0.00000036,   0.00000001,  -0.00001214,  -0.00001534,   0.00004206,  -0.00000006,  -0.00000367,   0.00000034
  0.00900000,   0.00003073,  -0.00002013,   0.90000663,   0.00000006,   0.00000344,   0.00000011,  -0.00001294,  -0.00001628,   0.00004462,  -0.00000006,  -0.00000390,   0.00000036
  0.00950000,   0.00000372,   0.00000114,   0.94996980,   0.00000012,   0.00000098,   0.00000004,  -0.00001375,  -0.00001722,   0.00004718,  -0.00000007,  -0.00000413,   0.00000039
  0.01000000,  -0.00001997,   0.00002830,   0.99997845,   0.00000059,   0.00000197,   0.00000008,  -0.00001456,  -0.00001816,   0.00004975,  -0.00000007,  -0.00000436,   0.00000041
  0.07658333,  -0.00002357,   0.00002522,   0.99995679,   0.00000043,   0.00000171,   0.00000008,  -0.00001787,  -0.00002004,   0.00005331,  -0.00000008,  -0.00000498,   0.00000044
  0.14316667,  -0.00002229,   0.00002661,   0.99999180,   0.00000053,   0.00000216,   0.00000009,  -0.00001809,  -0.00002056,   0.00005384,  -0.00000008,  -0.00000511,   0.00000045
  0.20975000,  -0.00002185,   0.00002551,   0.99999924,   0.00000054,   0.00000143,   0.00000007,  -0.00001815,  -0.00002082,   0.00005406,  -0.00000008,  -0.00000517,   0.00000045
  0.27633333,  -0.00002007,   0.00002550,   0.99996631,   0.00000054,   0.00000144,   0.00000009,  -0.00001817,  -0.00002095,   0.00005417,  -0.00000008,  -0.00000520,   0.00000045
  0.34291667,  -0.00002042,   0.00002749,   0.99996689,   0.00000056,   0.00000204,   0.00000009,  -0.00001817,  -0.00002101,   0.00005421,  -0.00000008,  -0.00000522,   0.00000045
  0.40950000,  -0.00001636,   0.00002385,   0.99996778,   0.00000062,  -0.00000031,   0.00000003,  -0.00001818,  -0.00002104,   0.00005424,  -0.00000008,  -0.00000522,   0.00000045
  0.47608333,  -0.00001785,   0.00002523,   0.99998622,   0.00000062,   0.00000047,   0.00000004,  -0.00001818,  -0.00002106,   0.00005425,  -0.00000008,  -0.00000523,   0.00000045
  0.54266667,  -0.00001872,   0.00002634,   0.99999392,   0.00000062,   0.00000120,   0.00000005,  -0.00001818,  -0.00002107,   0.00005426,  -0.00000008,  -0.00000523,   0.00000045
  0.60925000,  -0.00001706,   0.00002133,   1.00001610,   0.00000064,   0.00000087,   0.00000006,  -0.00001818,  -0.00002108,   0.00005427,  -0.00000008,  -0.00000523,   0.00000045
  0.67583333,  -0.00001666,   0.00002475,   0.99996222,   0.00000062,   0.00000080,   0.00000005,  -0.00001818,  -0.00002108,   0.00005427,  -0.00000008,  -0.00000523,   0.00000045
  0.74241667,  -0.00001770,   0.00002584,   0.99996763,   0.00000061,   0.00000140,   0.00000006,  -0.00001818,  -0.00002109,   0.00005427,  -0.00000008,  -0.00000523,   0.00000045
  0.80900000,  -0.00001994,   0.00002658,   1.00001070,   0.00000059,   0.00000240,   0.00000007,  -0.00001818,  -0.00002109,   0.00005428,  -0.00000008,  -0.00000523,   0.00000045
  0.87558333,  -0.00001950,   0.00002769,   0.99998327,   0.00000058,   0.00000231,   0.00000007,  -0.00001818,  -0.00002109,   0.00005428,  -0.00000008,  -0.00000523,   0.00000045
  0.94216667,  -0.00002028,   0.00002785,   0.99999248,   0.00000058,   0.00000231,   0.00000007,  -0.00001819,  -0.00002110,   0.00005429,  -0.00000008,  -0.00000523,   0.00000045
  1.00875000,  -0.00001991,   0.00002822,   0.99997622,   0.00000058,   0.00000194,   0.00000007,  -0.00001819,  -0.00002110,   0.00005429,  -0.00000008,  -0.00000524,   0.00000045
  1.07533330,  -0.00001970,   0.00002803,   0.99997225,   0.00000059,   0.00000176,   0.00000008,  -0.00001819,  -0.00002110,   0.00005429,  -0.00000008,  -0.00000524,   0.00000045
  1.14191670,  -0.00002021,   0.00002783,   0.99998775,   0.00000059,   0.00000203,   0.00000008,  -0.00001819,  -0.00002110,   0.00005430,  -0.00000008,  -0.00000524,   0.00000045
