Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
 0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000,  0.000000000
 0.000500000,  0.049999993, -0.000000114,  0.000000501,  0.000000000,  0.000000006,  0.000000000,  0.000006499, -0.000001721, -0.000000516,  0.000000094,  0.000000034, -0.000000001
 0.001000000,  0.099999756,  0.000000057,  0.000000191, -0.000000001,  0.000000004,  0.000000000,  0.000013953, -0.000003974, -0.000001114,  0.000000201,  0.000000077, -0.000000001
 0.001500000,  0.149999587,  0.000000193, -0.000001073, -0.000000003, -0.000000013,  0.000000000,  0.000021823, -0.000006451, -0.000001744,  0.000000316,  0.000000126,  0.000000001
 0.002000000,  0.199998970,  0.000000070,  0.000001753, -0.000000009,  0.000000024,  0.000000000,  0.000029991, -0.000009094, -0.000002397,  0.000000436,  0.000000176,  0.000000000
 0.002500000,  0.249998667, -0.000000126, -0.000000937, -0.000000021, -0.000000003,  0.000000001,  0.000038400, -0.000011863, -0.000003070,  0.000000560,  0.000000226,  0.000000000
 0.003000000,  0.299998600, -0.000000989, -0.000002926, -0.000000040, -0.000000007,  0.000000000,  0.000047001, -0.000014736, -0.000003759,  0.000000684,  0.000000277,  0.000000001
 0.003500000,  0.349998714, -0.000000949, -0.000011061, -0.000000043, -0.000000133,  0.000000006,  0.000055770, -0.000017697, -0.000004457,  0.000000814,  0.000000331,  0.000000000
 0.004000000,  0.399997571, -0.000002774, -0.000003019, -0.000000077,  0.000000026, -0.000000003,  0.000064689, -0.000020740, -0.000005167,  0.000000943,  0.000000387, -0.000000000
 0.004500000,  0.449995779, -0.000001593, -0.000004151, -0.000000087, -0.000000064,  0.000000003,  0.000073741, -0.000023851, -0.000005889,  0.000001079,  0.000000443,  0.000000000
 0.005000000,  0.499991696,  0.000000550, -0.000000829, -0.000000060, -0.000000014, -0.000000001,  0.000082917, -0.000027027, -0.000006620,  0.000001213,  0.000000500, -0.000000001
 0.005500000,  0.549994863, -0.000001443, -0.000000096, -0.000000099, -0.000000019,  0.000000003,  0.000092210, -0.000030267, -0.000007361,  0.000001351,  0.000000557, -0.000000001
 0.006000000,  0.599994229,  0.000001069, -0.000010053, -0.000000040, -0.000000131, -0.000000004,  0.000101609, -0.000033561, -0.000008107,  0.000001491,  0.000000613, -0.000000000
 0.006500000,  0.649993536, -0.000005483, -0.000009557, -0.000000103, -0.000000080, -0.000000003,  0.000111107, -0.000036911, -0.000008866,  0.000001633,  0.000000676, -0.000000001
 0.007000000,  0.699995893, -0.000002856, -0.000012369, -0.000000066, -0.000000131,  0.000000000,  0.000120699, -0.000040309, -0.000009627,  0.000001773,  0.000000733, -0.000000003
 0.007500000,  0.749994981, -0.000003404,  0.000000316, -0.000000090,  0.000000016,  0.000000006,  0.000130381, -0.000043754, -0.000010399,  0.000001916,  0.000000794, -0.000000000
 0.008000000,  0.799995447, -0.000004913, -0.000006616, -0.000000134, -0.000000053,  0.000000001,  0.000140149, -0.000047249, -0.000011174,  0.000002063,  0.000000853, -0.000000003
 0.008500000,  0.849994041, -0.000006454, -0.000007924, -0.000000147, -0.000000041,  0.000000006,  0.000149993, -0.000050780, -0.000011956,  0.000002210,  0.000000913, -0.000000003
