Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,   0.04999970,  -0.00000024,   0.00000341,   0.00000000,   0.00000004,  -0.00000000,   0.00000609,  -0.00000163,  -0.00000050,  -0.00000004,   0.00000003,   0.00000000
  0.00100000,   0.09999961,   0.00000001,   0.00000239,  -0.00000000,   0.00000003,  -0.00000000,   0.00001307,  -0.00000378,  -0.00000108,  -0.00000009,   0.00000006,   0.00000001
  0.00150000,   0.14999949,   0.00000031,   0.00000024,  -0.00000000,   0.00000000,  -0.00000000,   0.00002045,  -0.00000615,  -0.00000169,  -0.00000014,   0.00000010,   0.00000001
  0.00200000,   0.19999879,   0.00000023,   0.00000332,   0.00000001,   0.00000004,  -0.00000000,   0.00002810,  -0.00000869,  -0.00000232,  -0.00000020,   0.00000014,   0.00000002
  0.00250000,   0.24999801,  -0.00000002,   0.00000625,   0.00000001,   0.00000008,  -0.00000000,   0.00003598,  -0.00001134,  -0.00000297,  -0.00000025,   0.00000018,   0.00000002
  0.00300000,   0.29999898,  -0.00000014,  -0.00000690,   0.00000002,  -0.00000006,  -0.00000001,   0.00004404,  -0.00001410,  -0.00000364,  -0.00000031,   0.00000022,   0.00000003
  0.00350000,   0.35000096,  -0.00000064,  -0.00002178,   0.00000004,  -0.00000033,   0.00000003,   0.00005226,  -0.00001694,  -0.00000432,  -0.00000037,   0.00000026,   0.00000003
  0.00400000,   0.39999836,  -0.00000061,  -0.00001216,   0.00000004,  -0.00000009,  -0.00000001,   0.00006062,  -0.00001987,  -0.00000500,  -0.00000042,   0.00000031,   0.00000003
  0.00450000,   0.44999689,  -0.00000127,  -0.00000426,   0.00000005,  -0.00000008,   0.00000002,   0.00006910,  -0.00002286,  -0.00000570,  -0.00000048,   0.00000035,   0.00000004
  0.00500000,   0.49999601,  -0.00000088,   0.00000096,   0.00000004,  -0.00000004,   0.00000002,   0.00007770,  -0.00002591,  -0.00000641,  -0.00000054,   0.00000040,   0.00000004
  0.00550000,   0.54999727,  -0.00000156,  -0.00000001,   0.00000003,  -0.00000004,   0.00000002,   0.00008641,  -0.00002903,  -0.00000713,  -0.00000061,   0.00000044,   0.00000005
  0.00600000,   0.59999832,  -0.00000192,  -0.00000251,   0.00000003,  -0.00000007,   0.00000002,   0.00009522,  -0.00003220,  -0.00000785,  -0.00000067,   0.00000049,   0.00000005
  0.00650000,   0.64999220,  -0.00001427,  -0.00004192,   0.00000013,  -0.00000034,   0.00000001,   0.00010412,  -0.00003543,  -0.00000859,  -0.00000073,   0.00000054,   0.00000006
  0.00700000,   0.69999615,  -0.00000207,   0.00000397,   0.00000005,   0.00000003,   0.00000002,   0.00011311,  -0.00003870,  -0.00000932,  -0.00000079,   0.00000058,   0.00000006
  0.00750000,   0.74999784,  -0.00000027,  -0.00000453,   0.00000003,  -0.00000009,   0.00000001,   0.00012219,  -0.00004202,  -0.00001007,  -0.00000086,   0.00000063,   0.00000007
  0.00800000,   0.79999708,  -0.00000153,   0.00001188,   0.00000002,   0.00000011,   0.00000002,   0.00013134,  -0.00004538,  -0.00001082,  -0.00000092,   0.00000068,   0.00000007
  0.00850000,   0.84999773,  -0.00000066,   0.00000083,   0.00000003,  -0.00000002,   0.00000002,   0.00014057,  -0.00004879,  -0.00001158,  -0.00000098,   0.00000073,   0.00000008
