Time (m)    , Stress_xx (MPa), Stress_yy (MPa), Stress_zz (MPa), Stress_xy (MPa), Stress_xz (MPa), Stress_yz (MPa), Strain_xx   , Strain_yy   , Strain_zz   , Strain_xy   , Strain_xz   , Strain_yz   
  0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000,   0.00000000
  0.00050000,   0.05000009,  -0.00000014,  -0.00000019,   0.00000000,  -0.00000000,  -0.00000000,   0.00000662,  -0.00000175,  -0.00000052,   0.00000010,   0.00000003,   0.00000000
  0.00100000,   0.09999977,   0.00000009,  -0.00000028,   0.00000001,  -0.00000000,  -0.00000000,   0.00001421,  -0.00000405,  -0.00000113,   0.00000022,   0.00000007,   0.00000000
  0.00150000,   0.14999932,   0.00000001,   0.00000032,   0.00000001,   0.00000000,   0.00000000,   0.00002222,  -0.00000657,  -0.00000176,   0.00000035,   0.00000011,   0.00000001
  0.00200000,   0.19999923,   0.00000001,   0.00000003,   0.00000001,   0.00000000,   0.00000000,   0.00003054,  -0.00000925,  -0.00000242,   0.00000049,   0.00000016,   0.00000001
  0.00250000,   0.24999890,  -0.00000029,   0.00000002,   0.00000001,   0.00000000,   0.00000000,   0.00003910,  -0.00001206,  -0.00000310,   0.00000063,   0.00000020,   0.00000001
  0.00300000,   0.29999864,  -0.00000124,  -0.00000076,   0.00000000,   0.00000001,   0.00000000,   0.00004786,  -0.00001498,  -0.00000380,   0.00000077,   0.00000025,   0.00000001
  0.00350000,   0.34999757,  -0.00000258,  -0.00000544,  -0.00000003,  -0.00000001,   0.00000000,   0.00005679,  -0.00001799,  -0.00000450,   0.00000091,   0.00000030,   0.00000001
  0.00400000,   0.39999815,  -0.00000318,  -0.00000239,  -0.00000001,   0.00000003,   0.00000000,   0.00006587,  -0.00002107,  -0.00000522,   0.00000106,   0.00000035,   0.00000002
  0.00450000,   0.44999539,  -0.00000067,  -0.00000759,  -0.00000010,  -0.00000012,   0.00000000,   0.00007509,  -0.00002423,  -0.00000595,   0.00000121,   0.00000040,   0.00000002
  0.00500000,   0.49999353,  -0.00000087,   0.00000986,  -0.00000007,   0.00000009,   0.00000000,   0.00008444,  -0.00002745,  -0.00000669,   0.00000136,   0.00000045,   0.00000002
  0.00550000,   0.54999518,  -0.00000053,  -0.00000103,  -0.00000008,  -0.00000004,   0.00000000,   0.00009390,  -0.00003073,  -0.00000744,   0.00000152,   0.00000050,   0.00000002
  0.00600000,   0.59999327,   0.00000608,  -0.00003194,   0.00000007,  -0.00000038,  -0.00000001,   0.00010347,  -0.00003407,  -0.00000819,   0.00000168,   0.00000055,   0.00000003
  0.00650000,   0.64999427,  -0.00000144,   0.00000760,  -0.00000004,   0.00000008,   0.00000000,   0.00011314,  -0.00003747,  -0.00000896,   0.00000184,   0.00000061,   0.00000003
  0.00700000,   0.69999715,  -0.00000154,   0.00000101,  -0.00000006,   0.00000000,   0.00000000,   0.00012291,  -0.00004091,  -0.00000973,   0.00000200,   0.00000066,   0.00000003
  0.00750000,   0.74999649,  -0.00000089,   0.00000307,  -0.00000007,   0.00000002,   0.00000000,   0.00013277,  -0.00004440,  -0.00001051,   0.00000216,   0.00000071,   0.00000003
  0.00800000,   0.79999693,  -0.00000124,   0.00000341,  -0.00000006,   0.00000003,   0.00000000,   0.00014272,  -0.00004794,  -0.00001129,   0.00000232,   0.00000077,   0.00000003
  0.00850000,   0.84999229,  -0.00001266,  -0.00002944,  -0.00000031,  -0.00000021,   0.00000001,   0.00015274,  -0.00005152,  -0.00001208,   0.00000249,   0.00000082,   0.00000004
  0.00900000,   0.89998954,  -0.00001559,  -0.00002497,  -0.00000029,  -0.00000009,   0.00000001,   0.00016284,  -0.00005514,  -0.00001288,   0.00000266,   0.00000088,   0.00000004
  0.00950000,   0.94999391,  -0.00000184,   0.00001371,   0.00000001,   0.00000017,   0.00000000,   0.00017301,  -0.00005880,  -0.00001368,   0.00000283,   0.00000093,   0.00000004
  0.01000000,   0.99999656,  -0.00000982,  -0.00002336,  -0.00000019,  -0.00000020,   0.00000000,   0.00018326,  -0.00006250,  -0.00001448,   0.00000300,   0.00000099,   0.00000004
  0.07658333,   0.99999790,  -0.00000913,  -0.00002122,  -0.00000023,  -0.00000017,   0.00000004,   0.00023465,  -0.00009335,  -0.00001777,   0.00000397,   0.00000130,   0.00000005
